usage_mins,monthly_bill,support_calls,churn
483.53348024663137,58.613883387432416,3,0
624.0216234020874,57.23955578197488,4,1
603.0654396257996,84.02949383591852,2,1
766.0289192591346,57.848033733706814,4,1
480.544437723047,70.88462822876502,4,0
616.5685127477653,107.61150607560845,1,1
670.1974487403947,60.985307041629014,8,1
630.909602362887,100.37007671025938,3,1
696.0921722501729,17.06679431647555,1,1
727.7251274421187,73.54158212613292,1,1
631.1767821318412,67.2191763052561,5,1
668.3545333275702,89.77660962147402,3,1
513.6981512881052,68.29168388519669,4,0
653.9633323483026,59.39817541180799,5,0
659.5838177208911,58.152277942393674,2,0
525.3449580750786,56.21247666397283,2,0
605.2069328936335,82.89146255797931,3,0
675.9953239278292,82.76782340595658,4,1
405.27200980117243,89.37390576584352,1,0
713.8826435428409,71.09611845637299,2,0
329.8898034298349,73.21204927224845,5,1
440.58478122771754,69.01352493077115,4,0
785.0079953588659,76.09981823366329,1,1
510.93829433327005,53.592268556461676,3,1
583.4578366824395,92.43087964660994,1,0
621.4900604001077,63.33748543920832,3,0
697.9510510650499,93.559374555718,4,1
666.1983740734295,57.812714567024216,6,1
634.1874401491364,75.21870118105066,3,1
531.6448780619907,83.32679010815515,3,1
491.2477527106711,81.8384757981536,1,0
590.6548002365007,84.74989763773989,3,0
556.4923080222068,66.66765959414272,3,0
640.8555408430491,65.4593153521797,0,0
625.625071571892,73.61375197547832,9,1
596.1356948342682,91.88500073270541,4,0
640.467080149302,70.19292826486173,1,0
359.1895036553168,62.37758824950341,2,1
600.9647279024387,52.73681980454096,1,1
609.6997217833518,69.07437091250421,3,1
556.9134043298621,71.08966399557197,3,1
465.4911002204493,82.24323910771048,3,0
702.212181067442,99.8427377836117,1,1
557.8597215699767,80.1426837824988,0,1
709.2372572173589,57.60858175684926,4,0
423.10762628368195,108.43142740501969,7,1
757.3515520480679,7.606444984761779,2,1
580.7398892443063,92.5847800157133,2,1
556.8398499403153,68.2216483491708,4,0
638.7524810341266,93.92781044494633,2,1
694.4648950192984,82.51790861018853,2,1
527.2541739057292,42.54114719547222,1,0
584.9896736958278,66.47716614777741,2,0
475.07702827195965,59.51312883414879,6,1
555.7303776346182,92.7077789503883,5,1
511.2688110221687,83.61002076903378,8,0
666.8748192061927,57.184419960588656,5,1
637.197828627956,86.66878502775536,2,1
473.1361417216958,36.78536867201587,5,1
582.2363823816208,72.27987211262672,4,1
702.5180208181453,63.831087259789456,2,0
532.2353954252328,35.810667805765284,3,1
492.6051955408921,72.2339965318663,2,0
560.1571541002032,69.97795665906312,1,0
468.4259813523811,35.19042086607533,4,0
560.593193920356,96.78852645901205,1,0
598.7105381665791,54.92689861535118,2,0
475.3039415675727,43.62467459934585,5,1
553.0659261397186,75.69976117736785,2,1
662.8592192873671,66.96634209934874,1,0
602.7791660973835,69.5420930709735,2,0
670.1720432879209,65.38467277971567,3,1
562.13674165441,85.74514740516176,2,1
781.6633694605797,89.0823616698821,3,1
555.1308604063777,45.410460788580515,3,1
570.4698418236803,80.79375479476806,1,0
515.9521926315489,41.44323212023007,2,0
779.3882485649392,74.25523557497766,4,1
608.5890202711058,80.6544278485864,3,0
604.356897055064,87.66167570360597,0,0
742.0253313511414,63.142131468195956,3,1
516.3719820212083,66.02076104800378,4,1
610.4673980463257,64.28616499397624,2,0
875.766360148935,69.93092667648895,0,1
647.1647567435701,64.40146212621272,1,1
587.6757871992401,42.1620823859515,1,0
728.7489989789176,86.4898345854711,8,1
567.52312463175,51.09730858989494,4,1
746.8795257561959,98.29798984301155,2,1
539.4883351195446,88.26620216248907,2,0
777.2325739736555,72.42559045467382,1,0
