usage_mins,monthly_bill,support_calls,churn
889.2113967226958,133.1787294073381,2.5,1
736.8165677189156,117.51291153612138,2.5,1
925.4452491441662,88.96780220736575,4.0,1
1135.527165537926,65.65108633571606,5.5,1
713.8031900663993,110.04136934924847,5.5,0
713.8071303321967,99.98501771891773,1.0,0
1149.011075721774,116.54137626091517,2.5,1
954.1843349966981,107.960669455505,2.5,1
657.3261473756115,121.63523960553806,7.0,1
900.2144104606315,69.33723801850127,2.5,1
658.7797537250091,130.47400416593274,7.0,1
658.2248591431384,93.52078695484919,1.0,1
828.0709451758481,155.48360879663377,5.5,1
310.8127412821285,64.25680200304427,2.5,0
356.01972019687213,144.28680550445324,4.0,0
635.0509929821665,93.5310558542674,7.0,1
526.9205311197384,65.50320588072321,4.0,0
845.4193598228657,71.03176747620739,2.5,1
552.0742218749093,76.42853882958744,2.5,1
431.0471116795301,100.99747623126325,4.0,0
1121.755704541173,104.25357110517149,2.5,1
715.8136878832314,68.06789987002689,4.0,1
786.2067691251017,86.19629845538756,2.5,1
428.0604353087703,157.69492183419152,4.0,0
639.3481461139561,144.00892461332347,1.0,1
796.6214215303679,101.39868109924306,2.5,1
493.76154141864737,88.25411477955062,7.0,0
860.1675244029612,90.96103378170262,5.5,1
625.8467144194868,107.24609310010376,4.0,1
699.9935000496135,53.247845348452614,4.0,0
625.5904130649448,78.50657426502961,2.5,0
1214.546764282145,31.93672556203955,8.5,0
766.7606660628958,100.17436304597423,1.0,0
516.149377050584,108.35746601019046,4.0,1
967.4107789047654,71.05484674412067,5.5,1
476.9975240069546,138.94156318857108,2.5,1
820.1272628011412,46.549733120922745,4.0,1
299.6791702688539,38.675628953075936,7.0,1
451.2353482643767,94.40691001247909,5.5,0
817.2466966085896,121.5542439862011,4.0,0
947.2319791988984,142.56961381810967,2.5,1
811.128387485593,71.85681932532498,5.5,1
742.2444122268222,122.59646750323276,4.0,1
697.7351130585706,85.72922050647668,2.5,1
415.1547223118174,81.30329910195296,1.0,0
597.2373899852699,116.16077793706019,1.0,0
659.446694969651,108.52665498764286,4.0,1
1023.7093342925397,34.979058819519764,1.0,1
852.4683894964306,135.72583154095457,2.5,1
346.87036271294386,132.5430146868659,1.0,0
847.7801526547509,66.35643085018553,1.0,0
